SUBCAT_DSC_EXT,DIFFERENCE_PERC_TOTAL
 águas lisas,-0.585879438
 batata frita,-0.466012576
 bifidus,-0.102620527
 bolos,0.327257272
 cafés e misturas,0.152221692
 caldos,0.186591963
 Cerv. especial&preta,-0.105747876
 cerv.branca nacional,0.131288427
 champôs,0.141359919
 chocolates,-0.255375212
 doçaria impulso,0.38172517
" drops, gomas e rebuç",0.325178676
 farináceos,0.148111185
 fraldas,0.112136207
 guardanapos,-0.114464201
 leite uht peq format,0.122622413
 limpeza do chão,0.177095335
 magros,-0.242932808
 massas,-0.499955573
 molhos mesa,0.138935973
 prod. hig. feminina,0.167986904
 rolos de cozinha,-0.176143438
 sazonais,0.168859109
 sobremesas,0.133286354
 Sobremesas/Fruta,0.187639461
